001  dots-studio/dots-3-note-preview:free | 2026-08-14 | non-reasoning | 0/0
002  qwen/qwen3.8-27b | 2026-08-14 | reasoning:xhigh,medium,low | 0/3
003  deepseek/deepseek-v4-pro-0813 | 2026-08-12 | reasoning:max,high,low | 1/3
004  bytedance-seed/seed-2.0-code | 2026-08-12 | reasoning:high,medium,low | 0/3
005  bytedance-seed/seed-2-1-turbo | 2026-08-12 | non-reasoning | 0/2
006  nvidia/nemotron-3.5-lightning | 2026-08-11 | non-reasoning | 0/0
007  upstage/solar-pro4 | 2026-08-10 | non-reasoning | 0/0
008  ~deepseek/deepseek-v4-flash-latest | 2026-08-01 | reasoning:max,high,low | 0/0
009  deepseek/deepseek-v4-flash-0731 | 2026-07-31 | reasoning:max,high,low | 0/0
010  thinkingmachines/inkling-small | 2026-07-30 | reasoning:max,high,medium,low,minimal,none | 0/1
011  anthropic/claude-opus-5 | 2026-07-24 | reasoning:max,xhigh,high,medium,low | 5/25
012  openrouter/auto-beta | 2026-07-17 | non-reasoning | -1000000/-1000000
013  moonshotai/kimi-k3 | 2026-07-16 | reasoning:max,high,low | 3/15
014  kwaipilot/kat-coder-pro-v2.5 | 2026-07-10 | non-reasoning | 0/2
015  kwaipilot/kat-coder-air-v2.5 | 2026-07-10 | non-reasoning | 0/0
016  tencent/hy3 | 2026-07-06 | reasoning:high,low,none | 0/0
017  nex-agi/nex-n2-mini | 2026-06-24 | non-reasoning | 0/0
018  google/gemini-3.1-flash-image | 2026-06-18 | reasoning:high,minimal | 0/3
019  z-ai/glm-5.2:batch | 2026-06-16 | reasoning:xhigh,high | 0/2
020  z-ai/glm-5.2 | 2026-06-16 | reasoning:xhigh,high | 0/2
021  nvidia/nemotron-3-ultra-550b-a55b:batch | 2026-06-04 | reasoning:high,medium | 0/1
022  nvidia/nemotron-3-ultra-550b-a55b | 2026-06-04 | reasoning:high,medium | 0/3
023  qwen/qwen3.7-plus | 2026-06-03 | non-reasoning | 0/1
024  minimax/minimax-m3:batch | 2026-05-31 | non-reasoning | 0/0
025  minimax/minimax-m3 | 2026-05-31 | non-reasoning | 0/1
026  anthropic/claude-opus-4.8 | 2026-05-27 | reasoning:max,xhigh,high,medium,low | 5/25
027  qwen/qwen3.7-max | 2026-05-21 | non-reasoning | 1/4
028  perceptron/perceptron-mk1 | 2026-05-12 | non-reasoning | 0/1
029  google/gemini-3.1-flash-lite:batch | 2026-05-07 | reasoning:high,medium,low,minimal | 0/0
030  google/gemini-3.1-flash-lite | 2026-05-07 | reasoning:high,medium,low,minimal | 0/1
031  mistralai/mistral-medium-3-5 | 2026-04-30 | reasoning:high,none | 1/7
032  ibm-granite/granite-4.1-8b | 2026-04-30 | non-reasoning | 0/0
033  x-ai/grok-4.3 | 2026-04-30 | reasoning:high,medium,low,none | 1/2
034  qwen/qwen3.6-27b | 2026-04-27 | non-reasoning | 0/2
035  qwen/qwen3.6-max-preview | 2026-04-27 | non-reasoning | 1/6
036  qwen/qwen3.6-35b-a3b | 2026-04-27 | non-reasoning | 0/1
037  qwen/qwen3.6-flash | 2026-04-27 | non-reasoning | 0/1
038  qwen/qwen3.5-plus-20260420 | 2026-04-27 | non-reasoning | 0/1
039  ~moonshotai/kimi-latest | 2026-04-27 | reasoning:max,high,low | 2/13
040  ~anthropic/claude-haiku-latest | 2026-04-27 | non-reasoning | 1/5
041  deepseek/deepseek-v4-flash | 2026-04-24 | reasoning:xhigh,high | 0/0
042  deepseek/deepseek-v4-pro | 2026-04-24 | reasoning:xhigh,high | 1/3
043  inclusionai/ling-2.6-1t | 2026-04-23 | non-reasoning | 0/0
044  xiaomi/mimo-v2.5 | 2026-04-22 | non-reasoning | 0/0
045  xiaomi/mimo-v2.5-pro | 2026-04-22 | non-reasoning | 0/0
046  ~anthropic/claude-opus-latest | 2026-04-21 | reasoning:max,xhigh,high,medium,low | 5/25
047  inclusionai/ling-2.6-flash | 2026-04-21 | non-reasoning | 0/0
048  moonshotai/kimi-k2.6 | 2026-04-20 | non-reasoning | 0/4
049  z-ai/glm-5.1 | 2026-04-07 | non-reasoning | 0/3
050  google/gemma-4-26b-a4b-it:free | 2026-04-03 | non-reasoning | 0/0
051  google/gemma-4-26b-a4b-it | 2026-04-03 | non-reasoning | 0/0
052  qwen/qwen3.6-plus | 2026-04-02 | non-reasoning | 0/1
053  google/gemma-4-31b-it | 2026-04-02 | non-reasoning | 0/0
054  x-ai/grok-4.20 | 2026-03-31 | non-reasoning | 1/2
055  kwaipilot/kat-coder-pro-v2 | 2026-03-27 | non-reasoning | 0/1
056  rekaai/reka-edge | 2026-03-20 | non-reasoning | 0/0
057  mistralai/mistral-small-2603 | 2026-03-16 | reasoning:high,none | 0/0
058  nvidia/nemotron-3-super-120b-a12b:free | 2026-03-11 | reasoning:medium,low | 0/0
059  nvidia/nemotron-3-super-120b-a12b | 2026-03-11 | reasoning:medium,low | 0/0
060  qwen/qwen3.5-9b | 2026-03-10 | non-reasoning | 0/0
061  bytedance-seed/seed-2.0-lite | 2026-03-10 | reasoning:high,medium,low,minimal | 0/2
062  inception/mercury-2 | 2026-03-04 | reasoning:high,medium,low,none | 0/0
063  google/gemini-3.1-flash-lite-preview | 2026-03-03 | reasoning:high,medium,low,minimal | 0/1
064  google/gemini-3.1-flash-image-preview | 2026-02-26 | reasoning:high,minimal | 0/3
065  bytedance-seed/seed-2.0-mini | 2026-02-26 | reasoning:high,medium,low,minimal | 0/0
066  qwen/qwen3.5-flash-02-23 | 2026-02-25 | non-reasoning | 0/0
067  qwen/qwen3.5-122b-a10b | 2026-02-25 | non-reasoning | 0/2
068  qwen/qwen3.5-27b | 2026-02-25 | non-reasoning | 0/1
069  qwen/qwen3.5-35b-a3b | 2026-02-25 | non-reasoning | 0/1
